Time,Half Interval,Bx,By,Bz,Bt,x,y,z
2006-03-01T11:00:00.100Z,0.1,12.971,41.612,-4.45,43.814,15986.1,-28658.2,-64089.1
2006-03-01T11:00:00.300Z,0.1,13.442,41.241,-4.348,43.593,15985.7,-28658.1,-64088.9
2006-03-01T11:00:00.500Z,0.1,13.435,40.716,-4.676,43.13,15985.2,-28658.1,-64088.7
2006-03-01T11:00:00.700Z,0.1,13.822,39.811,-4.283,42.36,15984.8,-28658.1,-64088.4
2006-03-01T11:00:00.900Z,0.1,14.505,39.183,-4.242,41.996,15984.4,-28658,-64088.2
2006-03-01T11:00:01.100Z,0.1,15.678,39.225,-4.69,42.502,15984,-28658,-64088
2006-03-01T11:00:01.300Z,0.1,16.216,38.039,-4.828,41.632,15983.5,-28657.9,-64087.8
2006-03-01T11:00:01.500Z,0.1,15.741,37.002,-4.47,40.459,15983.1,-28657.9,-64087.6
2006-03-01T11:00:01.700Z,0.1,14.661,36.353,-3.988,39.401,15982.7,-28657.9,-64087.3
2006-03-01T11:00:01.900Z,0.1,13.819,36.335,-3.761,39.055,15982.3,-28657.8,-64087.1
2006-03-01T11:00:02.100Z,0.1,13.396,36.384,-3.997,38.977,15981.8,-28657.8,-64086.9
2006-03-01T11:00:02.300Z,0.1,13.873,35.728,-3.914,38.526,15981.4,-28657.7,-64086.7
2006-03-01T11:00:02.500Z,0.1,13.648,34.217,-3.718,37.025,15981,-28657.7,-64086.4
2006-03-01T11:00:02.700Z,0.1,13.274,32.027,-3.473,34.842,15980.5,-28657.7,-64086.2
2006-03-01T11:00:02.900Z,0.1,13.003,31.921,-3.309,34.627,15980.1,-28657.6,-64086
2006-03-01T11:00:03.100Z,0.1,12.138,31.871,-3.086,34.243,15979.7,-28657.6,-64085.8
2006-03-01T11:00:03.300Z,0.1,11.917,30.247,-3.053,32.653,15979.3,-28657.5,-64085.6
2006-03-01T11:00:03.500Z,0.1,11.861,29.158,-2.134,31.55,15978.8,-28657.5,-64085.3
2006-03-01T11:00:03.700Z,0.1,11.128,28.95,-1.602,31.056,15978.4,-28657.5,-64085.1
2006-03-01T11:00:03.900Z,0.1,10.474,29.334,-1.147,31.169,15978,-28657.4,-64084.9
2006-03-01T11:00:04.100Z,0.1,10.057,29.301,-0.8,30.989,15977.6,-28657.4,-64084.7
2006-03-01T11:00:04.300Z,0.1,10.512,29.091,-0.846,30.944,15977.1,-28657.3,-64084.5
2006-03-01T11:00:04.500Z,0.1,10.221,28.362,-0.578,30.153,15976.7,-28657.3,-64084.2
2006-03-01T11:00:04.700Z,0.1,10.089,27.935,-0.271,29.702,15976.3,-28657.3,-64084
2006-03-01T11:00:04.900Z,0.1,9.614,27.651,-0.491,29.279,15975.9,-28657.2,-64083.8
2006-03-01T11:00:05.100Z,0.1,9.221,27.023,-1.326,28.584,15975.4,-28657.2,-64083.6
2006-03-01T11:00:05.300Z,0.1,9.57,27.647,-1.166,29.279,15975,-28657.1,-64083.4
2006-03-01T11:00:05.500Z,0.1,10.081,28.18,-1.075,29.948,15974.6,-28657.1,-64083.1
2006-03-01T11:00:05.700Z,0.1,9.654,27.45,-1.304,29.127,15974.2,-28657,-64082.9
